,TRACTA,Per capita income 1980,Per capita income 1990,Per capita income 2000,Per capita income 2008-2012,Per capita income 2015-2019
45968,0,,,0.0,,
45969,10100,,14955.0,26109.0,45142.0,58325.0
45970,10200,,14899.0,24374.0,,
45971,10206,,,,43457.0,40837.0
45972,10208,,,,45841.0,44416.0
45973,10300,,16004.0,24642.0,,
45974,10304,,,,38709.0,53357.0
45975,10306,,,,32164.0,39259.0
45976,10400,,17154.0,25480.0,33784.0,38411.0
45977,10500,,21661.0,33753.0,52724.0,53893.0
45978,10600,,20130.0,29614.0,48579.0,51410.0
45979,10700,,16778.0,27542.0,45850.0,60467.0
45980,10800,,17074.0,25320.0,38217.0,50264.0
45981,10900,,16014.0,23956.0,34050.0,41413.0
45982,11000,,14302.0,22341.0,,
45983,11002,,,,34355.0,39297.0
45984,11100,,15390.0,23893.0,34510.0,37504.0
45985,11200,,15313.0,22884.0,39253.0,45297.0
45986,11300,,20797.0,29026.0,36280.0,55707.0
45987,11400,,14293.0,26645.0,34421.0,43126.0
45988,11500,,13544.0,21176.0,28947.0,33762.0
45989,11600,,13604.0,24291.0,25458.0,36036.0
45990,11700,,15286.0,27866.0,33268.0,60392.0
45991,11800,,16018.0,29287.0,,
45992,11801,,,,51772.0,58147.0
45993,11802,,,,32525.0,42155.0
45994,12000,,14602.0,20999.0,,
45995,12001,,,,34416.0,37204.0
45996,12002,,,,27576.0,32158.0
45997,12100,,14823.0,19590.0,,
45998,12101,,,,28113.0,31553.0
45999,12102,,,,36246.0,36955.0
46000,12200,,21428.0,34341.0,43402.0,60075.0
46001,12300,,12362.0,16745.0,,
46002,12400,,11673.0,15564.0,,
46003,12500,,17539.0,21443.0,,
46004,12502,,,,32405.0,30260.0
46005,12600,,12844.0,18072.0,,
46006,12601,,,,26064.0,32004.0
46007,12602,,,,20365.0,25361.0
46008,12700,,19568.0,27882.0,34768.0,52538.0
46009,12800,,18429.0,26906.0,34654.0,49049.0
46010,12900,,15910.0,23771.0,31910.0,41979.0
46011,13000,,22526.0,41624.0,,
46012,13002,,,,53536.0,73191.0
46013,13100,,16472.0,24205.0,43627.0,43092.0
46014,13200,,19797.0,26647.0,42198.0,42960.0
46015,13300,,17046.0,29818.0,36903.0,51595.0
46016,13400,,22485.0,32069.0,37647.0,59826.0
46017,13500,,16958.0,26653.0,38922.0,46358.0
46018,13600,,14211.0,22294.0,28627.0,42983.0
46019,13700,,13323.0,18198.0,29515.0,46446.0
46020,13800,,14100.0,21014.0,32668.0,43565.0
46021,13900,,17625.0,24493.0,38878.0,40400.0
46022,14000,,18413.0,28155.0,,
46023,14002,,,,33399.0,46738.0
46024,14100,,8384.0,14069.0,15688.0,21691.0
46025,14300,,18836.0,34370.0,44808.0,60995.0
46026,14400,,16190.0,27345.0,,
46027,14402,,,,36400.0,48130.0
46028,14500,,14480.0,20421.0,27033.0,35106.0
46029,14600,,14857.0,22824.0,32055.0,40397.0
46030,14700,,15394.0,26022.0,36215.0,43539.0
46031,14800,,16555.0,25611.0,41425.0,48901.0
46032,14900,,23806.0,37992.0,63236.0,69036.0
46033,14999,,19485.0,,,
46034,15000,,13614.0,21327.0,,
46035,15001,,,,26242.0,36524.0
46036,15002,,,,27525.0,33870.0
46037,15100,,15327.0,23393.0,35923.0,52962.0
46038,15200,,16952.0,39831.0,53353.0,64141.0
46039,15300,,,,19921.0,24086.0
46040,990000,,,,,
46041,900100,5554.0,10655.0,14582.0,16596.0,22619.0
46042,900200,5518.0,10930.0,13740.0,15531.0,21788.0
46043,900300,5798.0,13238.0,17517.0,27654.0,29496.0
46044,900400,6202.0,14601.0,18353.0,22992.0,25657.0
46045,900500,9036.0,24655.0,25306.0,38751.0,43022.0
46046,900600,5054.0,10224.0,14644.0,16771.0,19596.0
46047,900700,6425.0,14531.0,17766.0,24896.0,32973.0
46048,900800,10478.0,23667.0,35890.0,36759.0,44726.0
46049,900900,7776.0,16685.0,23411.0,29851.0,41314.0
46050,901000,7293.0,15537.0,20214.0,,
46051,901100,8285.0,15926.0,19956.0,28130.0,32304.0
46052,901200,,7580.0,10607.0,,
46053,910100,,,,,
46054,910200,,,,,
46055,910300,,,,,
46056,910400,,,,,
46057,911100,6632.0,16688.0,21106.0,33834.0,37574.0
46058,912100,7312.0,17061.0,23634.0,26540.0,41214.0
46059,913100,7106.0,16822.0,23263.0,33066.0,47930.0
46060,914100,6870.0,15289.0,19799.0,29606.0,36049.0
46061,920100,7388.0,14728.0,,,
46062,920101,,,30048.0,30990.0,34883.0
46063,920102,,,22851.0,46969.0,31417.0
46064,921100,4363.0,9451.0,22432.0,,
46065,921200,5544.0,11497.0,18431.0,,
46066,921300,5279.0,10340.0,15027.0,17696.0,27637.0
46067,921400,5642.0,11805.0,13780.0,21729.0,23583.0
46068,921500,6383.0,11100.0,16496.0,24596.0,23283.0
46069,922100,5977.0,12336.0,19929.0,22268.0,28773.0
46070,922200,6038.0,12782.0,16927.0,21840.0,34609.0
46071,922300,0.0,13502.0,19775.0,27779.0,33129.0
46072,923100,6325.0,14298.0,19156.0,30223.0,37085.0
46073,924100,10295.0,18215.0,32499.0,35772.0,44656.0
46074,925100,6823.0,14206.0,22655.0,34378.0,34370.0
46075,926100,6692.0,17535.0,25492.0,36025.0,48782.0
46076,931100,6050.0,13454.0,19389.0,28391.0,33273.0
46077,931300,,,18604.0,27163.0,30653.0
46078,931400,,,20303.0,28930.0,41680.0
46079,932100,6022.0,13768.0,,,
46080,932200,,,22278.0,35768.0,40917.0
46081,932300,,,19797.0,29255.0,35932.0
46082,933100,7493.0,15825.0,,,
46083,933200,,,32229.0,40127.0,58452.0
46084,933300,,,25658.0,33966.0,43879.0
46085,933400,,,26021.0,36081.0,44193.0
46086,934100,7795.0,18187.0,,,
46087,934200,,,31425.0,36397.0,44406.0
46088,934300,,,42035.0,42485.0,55238.0
46089,935100,8038.0,20371.0,31129.0,43254.0,55862.0
46090,935200,,,,26729.0,32383.0
46091,935300,,,,20355.0,25177.0
46092,0,,,0.0,,
46093,600100,6809.0,16811.0,30134.0,39568.0,45615.0
46094,600200,,,,,
46095,600201,8632.0,21252.0,32941.0,,
46096,600202,8015.0,19072.0,27622.0,38590.0,45211.0
46097,600203,,,,45865.0,55722.0
46098,600204,,,,40222.0,54638.0
46099,610100,6818.0,17301.0,25985.0,33726.0,42915.0
46100,610200,7537.0,18565.0,,,
46101,610201,,,27224.0,,
46102,610202,,,29285.0,43215.0,50369.0
46103,610203,,,,38815.0,63007.0
46104,610204,,,,48889.0,53810.0
46105,611100,6281.0,15354.0,23512.0,,
46106,611101,,,,34566.0,46732.0
46107,611102,,,,23609.0,34033.0
46108,611200,6338.0,16713.0,24254.0,,
46109,611201,,,,31621.0,44366.0
46110,611202,,,,31397.0,49080.0
46111,612100,7008.0,16024.0,24344.0,37855.0,43040.0
46112,612200,7632.0,17564.0,24540.0,32972.0,45671.0
46113,613100,6863.0,15461.0,21828.0,28603.0,35398.0
46114,613200,2195.0,9618.0,,,
46115,613300,7028.0,15722.0,21450.0,32042.0,39147.0
46116,613400,0.0,21465.0,21027.0,30086.0,38100.0
46117,613500,2167.0,4125.0,,,
46118,613600,6203.0,11536.0,18708.0,19462.0,25856.0
46119,613700,6218.0,13926.0,20761.0,26011.0,32200.0
46120,613800,5774.0,10578.0,17051.0,18729.0,22347.0
46121,613900,6257.0,13799.0,18539.0,,
46122,613901,,,,23273.0,27750.0
46123,613902,,,,27836.0,35111.0
46124,614000,5338.0,10937.0,16895.0,18197.0,21137.0
46125,614100,6400.0,14872.0,,,
46126,614101,,,21491.0,26421.0,29551.0
46127,614102,,,20067.0,28572.0,41429.0
46128,615100,6838.0,15479.0,22600.0,34440.0,39826.0
46129,616100,6306.0,14639.0,21652.0,30738.0,42304.0
46130,617100,6419.0,15603.0,,,
46131,617101,,,24588.0,31547.0,39660.0
46132,617102,,,23846.0,33527.0,40080.0
46133,630100,7161.0,15553.0,23067.0,,
46134,630101,,,,31958.0,32744.0
46135,630102,,,,27710.0,32625.0
46136,630200,7501.0,18969.0,28123.0,36192.0,43361.0
46137,630300,,,26336.0,36915.0,49952.0
46138,630400,,,26408.0,37119.0,53382.0
46139,631100,6868.0,14852.0,23007.0,29850.0,33575.0
46140,631200,7998.0,16639.0,25940.0,32776.0,41101.0
46141,631300,8585.0,16249.0,24669.0,34439.0,50731.0
46142,631400,5596.0,10524.0,19121.0,24978.0,25619.0
46143,631500,6943.0,14906.0,21078.0,30193.0,33994.0
46144,631600,5652.0,11376.0,19878.0,20280.0,25475.0
46145,631700,7056.0,15690.0,22628.0,30769.0,42116.0
46146,631800,7215.0,16194.0,21732.0,33954.0,42028.0
46147,632100,8074.0,18082.0,24406.0,36598.0,51852.0
46148,632200,7370.0,16716.0,23755.0,31652.0,41364.0
46149,633100,8012.0,17998.0,25052.0,38356.0,46929.0
46150,633200,7631.0,17297.0,27798.0,33514.0,43565.0
46151,640100,5124.0,10928.0,15629.0,23411.0,25391.0
46152,640200,5201.0,10075.0,14299.0,18477.0,19309.0
46153,640300,4770.0,8688.0,13712.0,15705.0,21830.0
46154,640400,5181.0,10965.0,15750.0,21021.0,27094.0
46155,640500,5503.0,11577.0,14257.0,22170.0,31655.0
46156,640600,5008.0,10307.0,14808.0,18112.0,21052.0
46157,640700,5808.0,12523.0,17117.0,26016.0,27263.0
46158,640800,4348.0,8917.0,12827.0,19744.0,26233.0
46159,640900,4505.0,9049.0,16816.0,,
46160,640901,,,,15063.0,19985.0
46161,641000,3915.0,8338.0,12345.0,18641.0,17486.0
46162,641099,0.0,,,,
46163,641100,4516.0,7895.0,12411.0,,
46164,641101,,,,17910.0,18557.0
46165,641200,4767.0,8562.0,13459.0,16745.0,19049.0
46166,641300,4329.0,8733.0,12075.0,14181.0,22787.0
46167,641400,4472.0,7722.0,13214.0,16437.0,18306.0
46168,641500,5323.0,10988.0,15264.0,23600.0,29640.0
46169,641600,5685.0,12824.0,16106.0,23489.0,36143.0
46170,641700,6018.0,11740.0,19486.0,21664.0,30518.0
46171,641800,6212.0,13307.0,20414.0,24137.0,31025.0
46172,641900,4825.0,10703.0,15952.0,21569.0,24020.0
46173,642000,4083.0,10948.0,14185.0,21949.0,21005.0
46174,642099,0.0,,,,
46175,642100,5584.0,12605.0,19584.0,25458.0,29934.0
46176,642200,4934.0,11289.0,14551.0,22802.0,21026.0
46177,642300,7681.0,20392.0,31167.0,40979.0,43633.0
46178,642400,6714.0,14379.0,19428.0,22179.0,28858.0
46179,642500,7261.0,15950.0,21801.0,30454.0,39306.0
46180,644100,7302.0,15388.0,,,
46181,644101,,,25247.0,34509.0,39508.0
46182,644102,,,22071.0,36328.0,37090.0
46183,644200,6912.0,14520.0,20376.0,27756.0,41484.0
46184,644299,,6000.0,,,
46185,645100,6692.0,15100.0,,,
46186,645101,,,21911.0,29508.0,34506.0
46187,645102,,,22437.0,34407.0,34650.0
46188,645103,,,21076.0,40170.0,41653.0
46189,646100,6549.0,15525.0,,,
46190,646101,,,22009.0,31670.0,36779.0
46191,646102,,,28395.0,,
46192,646103,,,,35439.0,38887.0
46193,646104,,,,50496.0,58823.0
46194,650100,,,,,
46195,650101,6817.0,13269.0,20244.0,27098.0,33002.0
46196,650102,5546.0,12445.0,17682.0,25901.0,29435.0
46197,650200,,,,,
46198,650201,7288.0,14047.0,19709.0,30006.0,34848.0
46199,650202,6624.0,12006.0,18679.0,20032.0,29615.0
46200,650300,6312.0,13982.0,21354.0,24045.0,26933.0
46201,650400,5304.0,10736.0,17805.0,22409.0,26536.0
46202,650500,5608.0,11508.0,16033.0,27761.0,29155.0
46203,650600,4842.0,12021.0,11433.0,16886.0,17414.0
46204,650700,4203.0,8416.0,10380.0,14230.0,15414.0
46205,650800,4644.0,9705.0,13397.0,18196.0,20248.0
46206,650900,4402.0,7856.0,9485.0,13937.0,24769.0
46207,651000,,,,,
46208,651001,6256.0,13295.0,16238.0,27018.0,29843.0
46209,651002,5795.0,11565.0,16464.0,28267.0,34543.0
46210,651100,4687.0,9595.0,12037.0,13645.0,24673.0
46211,651200,4605.0,7989.0,9045.0,16390.0,18378.0
46212,651300,4730.0,10006.0,13316.0,16206.0,21748.0
46213,651400,5450.0,10636.0,13646.0,22048.0,25111.0
46214,651500,4532.0,9591.0,13419.0,18409.0,23687.0
46215,651600,5275.0,11699.0,16080.0,20560.0,31529.0
46216,651700,4988.0,9974.0,15339.0,20340.0,19998.0
